Informe de rendimiento del anuncio (huso horario de UTC)
Fecha de inicio del informe: 16 de febrero de 2026 0:00
Fecha de fin del informe: 9 de abril de 2026 23:59
Fecha de creación: 9 de abril de 2026 8:54


Fecha de inicio (huso horario de UTC)	Moneda	campaign_alias	Estado de la campaña	Fecha de inicio de la campaña	Fecha de finalización de la campaña	adset_alias	Objetivo del lote de anuncios	Tipo de lote de anuncios	Estado del lote de anuncios	Tipo de coste	Presupuesto diario	Presupuesto total	Fecha de inicio del lote de anuncios	Fecha de finalización del lote de anuncios	ad_alias	Estado del anuncio	intro_alias	title_alias	tagline_alias	Tipo de actualización patrocinada	dsc_alias	Gasto total	Impresiones	Clics	Porcentaje de clics	CPM medio	CPC medio	Reacciones	Comentarios	Veces compartido	Seguidores	Otros clics	Acciones sociales totales	Total de interacciones	Tasa de interacción	Impresiones virales	Clics virales	Reacciones virales	Comentarios virales	Veces virales compartidas	Veces virales seguidas	Otros clics virales	Conversiones	Conversiones posteriores al clic	Conversiones de visualización	Tasa de conversión	Coste por conversión	Valor total de las conversiones	Rendimiento del gasto publicitario	Conversiones virales	Conversiones virales postclic	Conversiones virales de visualización	Posibles contactos	Formularios de posibles clientes abiertos	Tasa de finalización de formulario de posibles contactos	Coste por posible contacto	Citas reservadas	Alcance	Promedio de frecuencia	Coste por 1.000  personas alcanzadas	Inscripción en eventos	Inscripciones tras clic	Inscripciones tras visualización	Inscripciones virales	Inscripciones virales tras clic	Inscripciones virales tras visualización	Clics a la página de destino	Clics a la página de LinkedIn	Posibles contactos (email del trabajo)	Tasa de finalización del formulario de generación de contactos (email del trabajo)	Coste por posible contacto (email del trabajo)	Siguiendo del miembro	Clics al perfil del miembro	Posibles clientes cualificados	Coste por posible cliente cualificado	Promedio de permanencia (en segundos)	Suscripciones	Suscripciones virales
27/2/2026	EUR	a9493240b8e5	En pausa	26/2/2026	18/4/2026	a9493240b8e5	Visitas al sitio web	Actualización patrocinada	Activo	CPM			26/2/2026	18/4/2026	99af5d15ca74	Activo	d3e8fb6218ab	c61de877f710		DSC		0,33	16	0	0 %	20,63	0,00	0	0	0	0	0	0	0	0 %	0	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0,00	0	0	0	0	0	0 %	0,00	0	15	1,067	22,00	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0	0	0,00	5.5360625	0	0
28/2/2026	EUR	a9493240b8e5	En pausa	26/2/2026	18/4/2026	a9493240b8e5	Visitas al sitio web	Actualización patrocinada	Activo	CPM			26/2/2026	18/4/2026	99af5d15ca74	Activo	d3e8fb6218ab	c61de877f710		DSC		0,70	38	2	5,263 %	18,42	0,35	0	0	0	0	1	1	3	7,895 %	0	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0,00	0	0	0	0	0	0 %	0,00	0	29	1,31	24,14	0	0	0	0	0	0	2	0	0	0 %	0,00	0	0	0	0,00	5.1361714286	0	0
1/3/2026	EUR	a9493240b8e5	En pausa	26/2/2026	18/4/2026	a9493240b8e5	Visitas al sitio web	Actualización patrocinada	Activo	CPM			26/2/2026	18/4/2026	99af5d15ca74	Activo	d3e8fb6218ab	c61de877f710		DSC		0,64	34	0	0 %	18,82	0,00	0	0	0	0	0	0	0	0 %	0	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0,00	0	0	0	0	0	0 %	0,00	0	25	1,36	25,60	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0	0	0,00	3.1179705882	0	0
2/3/2026	EUR	a9493240b8e5	En pausa	26/2/2026	18/4/2026	a9493240b8e5	Visitas al sitio web	Actualización patrocinada	Activo	CPM			26/2/2026	18/4/2026	99af5d15ca74	Activo	d3e8fb6218ab	c61de877f710		DSC		0,02	2	0	0 %	10,00	0,00	0	0	0	0	0	0	0	0 %	0	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0,00	0	0	0	0	0	0 %	0,00	0				0	0	0	0	0	0	0	0	0	0 %	0,00	0	0	0	0,00	1.2575	0	0
3/3/2026	EUR	a9493240b8e5	En pausa	26/2/2026	18/4/2026	a9493240b8e5	Visitas al sitio web	Actualización patrocinada	Activo	CPM			26/2/2026	18/4/2026	99af5d15ca74	Activo	d3e8fb6218ab	c61de877f710		DSC		0,11	4	0	0 %	27,50	0,00	0	0	0	0	0	0	0	0 %	0	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0,00	0	0	0	0	0	0 %	0,00	0	4	1	27,50	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0	0	0,00	11.50125	0	0
4/3/2026	EUR	a9493240b8e5	En pausa	26/2/2026	18/4/2026	a9493240b8e5	Visitas al sitio web	Actualización patrocinada	Activo	CPM			26/2/2026	18/4/2026	99af5d15ca74	Activo	d3e8fb6218ab	c61de877f710		DSC		0,05	3	0	0 %	16,67	0,00	0	0	0	0	0	0	0	0 %	0	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0,00	0	0	0	0	0	0 %	0,00	0	3	1	16,67	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0	0	0,00	7.196	0	0
5/3/2026	EUR	a9493240b8e5	En pausa	26/2/2026	18/4/2026	a9493240b8e5	Visitas al sitio web	Actualización patrocinada	Activo	CPM			26/2/2026	18/4/2026	99af5d15ca74	Activo	d3e8fb6218ab	c61de877f710		DSC		0,19	9	0	0 %	21,11	0,00	0	0	0	0	0	0	0	0 %	0	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0,00	0	0	0	0	0	0 %	0,00	0	9	1	21,11	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0	0	0,00	5.0256666667	0	0
6/3/2026	EUR	a9493240b8e5	En pausa	26/2/2026	18/4/2026	a9493240b8e5	Visitas al sitio web	Actualización patrocinada	Activo	CPM			26/2/2026	18/4/2026	99af5d15ca74	Activo	d3e8fb6218ab	c61de877f710		DSC		0,05	6	0	0 %	8,33	0,00	0	0	0	0	0	0	0	0 %	0	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0,00	0	0	0	0	0	0 %	0,00	0	5	1,2	10,00	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0	0	0,00	2.361	0	0
19/3/2026	EUR	a9493240b8e5	En pausa	26/2/2026	18/4/2026	a9493240b8e5	Visitas al sitio web	Actualización patrocinada	Activo	CPM			26/2/2026	18/4/2026	99af5d15ca74	Activo	d3e8fb6218ab	c61de877f710		DSC		21,21	38	0	0 %	558,16	0,00	0	0	0	0	0	0	0	0 %	0	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0,00	0	0	0	0	0	0 %	0,00	0	35	1,086	606,00	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0	0	0,00	5.4775	0	0
20/3/2026	EUR	a9493240b8e5	En pausa	26/2/2026	18/4/2026	a9493240b8e5	Visitas al sitio web	Actualización patrocinada	Activo	CPM			26/2/2026	18/4/2026	99af5d15ca74	Activo	d3e8fb6218ab	c61de877f710		DSC		26,93	110	3	2,727 %	244,82	8,98	0	0	0	0	0	0	6	5,455 %	0	0	0	0	0	0	0	0	0	0	0 %	0,00	0	0,00	0	0	0	0	0	0 %	0,00	0	81	1,358	332,47	0	0	0	0	0	0	3	3	0	0 %	0,00	0	0	0	0,00	5.9056388889	0	0
